Date,Transaction,Name,Memo,Amount
7/11/2022,DEBIT,TST* The FAB San Jose,24692162191100021922578; 05812;,-59.65
7/11/2022,DEBIT,THE TECH INTERACTIVE SAN JOSE,24431062191081958618884; 08398;,-34.00
7/11/2022,DEBIT,COSTCO WHSE #1061 HAYWARD,24943002190898002083288; 05300;,-39.04
7/7/2022,DEBIT,UC DESSERT OAKLAND,24688082187030021671523; 05812;,-10.64
7/6/2022,DEBIT,LAZ PKG 180103 - CENTE BERKELEY,24055222186016288070002; 07523;,-7.50
7/5/2022,DEBIT,ROUND1 AM - SLM CA HAY HAYWARD,24269792186000674648831; 07933;,-22.00
7/5/2022,DEBIT,DIN DING DUMPLING HOUS UNION CIT,24765012185010000084653; 05812;,-79.54
7/5/2022,DEBIT,EAST BAY REG PARK DIST OAKLAND,24013392185000372764020; 09399;,-5.00
7/5/2022,DEBIT,WIPEOUT BAR & GRILL SAN FRANCI,24013392184000288809548; 05812;,-78.28
7/5/2022,DEBIT,IMPARK00270019A SAN FRANCI,24692162184100518659898; 07523;,-6.00
7/5/2022,DEBIT,TARGET 00014720 HAYWARD,24164072184091017336890; 05310;,-22.62
7/5/2022,DEBIT,SQ *SHARETEA HAYWARD Hayward,24692162184100880658742; 05499;,-5.93
7/5/2022,DEBIT,IMPARK00270050A SAN FRANCI,24692162184100539306784; 07523;,-8.00
6/28/2022,DEBIT,COSTCO WHSE #1061 HAYWARD,24943002179898002088720; 05300;,-92.48
6/27/2022,DEBIT,ROUND1 AM - SLM CA HAY HAYWARD,24269792178000806369884; 07933;,-22.00
6/27/2022,CREDIT,PAYMENT THANK YOU,WEB AUTOMTC; 00000;,167.66
6/24/2022,DEBIT,TARGET 00014720 HAYWARD,24164072174091007100688; 05310;,-8.85
6/22/2022,DEBIT,TST* SUNRIGHT TEA- UNI UNION CIT,24137462172100292941125; 05812;,-5.65
6/21/2022,DEBIT,TARGET 00014720 HAYWARD,24164072171091017435176; 05310;,-52.39
6/21/2022,DEBIT,CKE*HOM KOREAN KITCH 3 EMERYVILL,24445002171300438521664; 05812;,-27.21
6/21/2022,DEBIT,COSTCO WHSE #1061 HAYWARD,24943002169898002078657; 05300;,-52.73
6/14/2022,DEBIT,DIN DING DUMPLING HOUS UNION CIT,24765012164010000379074; 05812;,-45.77
6/14/2022,DEBIT,TENNYSON VALERO HAYWARD,24427332164120001445865; 05542;,-45.43
6/13/2022,DEBIT,88 MANOR MARKET HAYWARD,24765012163839002450900; 05411;,-9.59